weight	date
0	15-Jun
0	16-Jun
0	17-Jun
0	18-Jun
0	19-Jun
0	20-Jun
0	21-Jun
0	22-Jun
0	23-Jun
2	24-Jun
2	25-Jun
3	26-Jun
3	27-Jun
6	28-Jun
10	29-Jun
12	30-Jun
12	1-Jul
12	2-Jul
12	3-Jul
14	4-Jul
16	5-Jul
17	6-Jul
18	7-Jul
20	8-Jul
22	9-Jul
24	10-Jul
26	11-Jul
30	12-Jul
34	13-Jul
35	14-Jul
39	15-Jul
44	16-Jul
48	17-Jul
57	18-Jul
61	19-Jul
68	20-Jul
73	21-Jul
77	22-Jul
82	23-Jul
88	24-Jul
89	25-Jul
94	26-Jul
98	27-Jul
103	28-Jul
108	29-Jul
112	30-Jul
112	31-Jul
118	1-Aug
118	2-Aug
120	3-Aug
126	4-Aug
130	5-Aug
133	6-Aug
137	7-Aug
138	8-Aug
143	9-Aug
143	10-Aug
145	11-Aug
147	12-Aug
146	13-Aug
150	14-Aug
152	15-Aug
153	16-Aug
155	17-Aug
153	18-Aug
154	19-Aug
151	20-Aug
151	21-Aug
151	22-Aug
151	23-Aug
151	24-Aug
149	25-Aug
150	26-Aug
150	27-Aug
151	28-Aug
152	29-Aug
152	30-Aug
153	31-Aug
155	1-Sep
156	2-Sep
153	3-Sep
153	4-Sep
152	5-Sep
153	6-Sep
152	7-Sep
151	8-Sep
150	9-Sep
150	10-Sep
150	11-Sep
149	12-Sep
149	13-Sep
148	14-Sep
148	15-Sep
148	16-Sep
148	17-Sep
147	18-Sep
143	19-Sep
144	20-Sep
143	21-Sep
142	22-Sep
140	23-Sep
